image_id,annotation_count
1,13
2,4
4,14
5,2
6,6
7,6
8,11
9,7
10,4
11,12
12,3
13,6
14,5
15,5
16,8
17,10
19,11
20,1
21,11
22,3
23,9
24,7
25,7
26,8
27,1
28,13
29,1
30,7
31,2
32,2
33,5
34,2
35,2
37,3
38,3
39,9
40,9
41,9
42,6
43,5
44,4
45,5
46,7
47,6
48,2
49,4
50,4
51,3
52,11
53,3
54,4
55,8
56,21
57,2
58,15
59,6
60,6
61,9
62,2
63,6
64,9
65,2
66,4
67,2
68,6
69,5
70,8
71,9
72,3
73,7
74,9
75,10
76,4
77,5
78,9
79,4
80,6
81,3
82,4
83,6
84,5
85,8
86,2
87,3
88,10
89,2
90,12
91,6
92,3
93,1
94,4
95,2
96,2
97,8
98,2
99,5
101,6
102,4
103,2
104,3
105,6
106,5
107,7
108,5
109,2
110,4
111,6
112,3
113,2
114,1
115,9
116,4
117,6
118,3
119,7
120,1
121,7
122,7
123,2
124,2
125,6
126,4
127,9
128,5
129,7
130,3
131,2
132,1
133,2
134,3
135,2
136,3
137,3
138,6
139,3
140,2
141,6
142,5
143,5
144,9
145,6
146,10
147,7
148,23
149,5
150,5
151,8
152,4
153,2
154,11
155,5
156,1
157,1
158,5
159,5
160,7
161,3
162,7
163,8
164,7
165,4
166,2
167,2
168,1
169,7
170,5
171,4
172,1
174,3
175,8
176,2
177,5
178,6
179,1
180,6
181,10
182,8
183,3
184,7
185,1
186,1
187,2
188,8
189,3
190,16
191,5
192,8
193,4
194,4
195,6
196,8
197,10
198,5
199,1
200,2
201,3
202,17
203,2
204,4
205,5
207,11
208,3
209,4
210,2
211,7
212,5
213,1
215,7
216,5
217,3
218,1
219,5
220,12
221,4
223,7
224,6
225,4
226,2
227,4
228,3
229,11
230,7
231,5
232,5
233,6
234,7
235,8
236,6
237,7
238,1
239,10
240,1
241,7
242,12
243,2
244,8
245,15
246,15
247,2
248,1
249,7
250,4
251,9
252,7
253,4
254,6
255,14
256,8
257,3
258,2
259,2
260,4
261,8
262,6
264,1
265,8
266,5
267,5
268,6
269,1
270,3
272,9
273,6
276,3
277,8
278,3
279,9
280,5
281,4
282,4
283,7
284,4
285,11
286,3
287,9
288,9
289,4
290,7
291,13
292,2
293,2
294,3
295,6
296,3
298,3
299,10
300,3
301,8
302,9
303,15
304,4
305,3
306,15
307,1
308,8
309,12
310,2
311,7
312,7
313,5
314,5
315,7
316,1
317,1
318,5
319,3
320,3
321,5
322,7
323,2
324,6
325,8
326,2
327,4
329,6
330,8
331,3
332,2
333,2
334,5
335,12
336,1
337,6
338,9
339,6
340,3
341,1
342,5
343,4
344,11
345,3
346,6
347,1
348,14
349,10
350,1
351,1
352,3
353,2
354,1
356,10
357,3
358,8
359,9
360,4
361,3
362,5
363,6
364,4
365,7
366,6
368,5
369,14
370,2
371,11
374,4
375,3
376,2
377,6
378,7
379,5
380,8
381,3
382,5
383,8
384,8
385,5
386,7
387,5
388,11
389,5
390,4
391,1
392,9
393,1
394,6
395,2
396,2
397,2
398,6
399,9
400,1
401,12
402,1
403,10
404,11
405,6
407,3
408,1
409,7
410,6
411,7
412,9
413,4
414,3
415,8
416,3
417,4
418,2
419,6
420,16
421,9
423,1
424,6
425,11
426,2
427,3
428,8
429,4
430,10
431,4
432,3
433,3
435,4
436,7
437,1
438,3
439,10
440,2
441,2
442,2
443,9
444,1
445,3
446,9
447,3
448,6
449,1
450,4
451,4
452,5
453,1
454,4
455,6
456,5
457,5
458,7
459,4
460,2
461,4
462,7
463,8
464,9
465,3
466,6
467,4
468,6
469,3
470,5
471,2
472,6
473,6
474,3
475,15
476,4
477,7
478,11
479,3
480,3
481,9
482,3
483,6
484,6
485,4
486,3
487,9
488,10
489,4
490,4
491,3
492,2
493,2
494,4
495,1
497,2
498,2
499,9
500,9
501,5
502,4
503,8
504,6
505,5
506,2
507,3
508,3
509,9
510,1
511,2
512,1
513,5
514,7
515,6
516,6
517,5
518,5
519,1
520,11
521,5
522,2
523,6
524,5
525,7
526,9
527,3
528,8
529,7
530,3
531,9
532,6
533,2
534,2
535,1
536,14
537,3
538,3
539,2
540,1
541,3
542,4
543,4
544,2
545,4
546,4
547,10
548,4
549,1
550,2
551,7
552,6
553,3
554,1
555,4
556,11
557,4
558,1
559,3
560,8
561,7
562,2
563,5
564,1
565,7
566,2
567,11
568,4
569,2
570,1
571,6
572,3
573,1
574,9
575,10
576,6
577,3
578,4
579,1
580,4
581,4
582,6
583,9
584,3
585,1
586,4
588,6
589,4
590,1
591,2
592,4
593,4
594,3
595,2
596,1
597,8
598,4
599,3
600,9
601,1
602,4
603,2
604,4
605,1
606,1
607,6
608,7
609,1
610,5
611,3
612,4
613,1
614,5
615,3
616,8
617,3
618,2
619,10
620,4
621,7
623,1
624,1
625,1
627,2
628,4
629,3
630,6
631,3
632,9
633,10
634,3
635,5
636,4
637,5
638,9
639,8
641,3
642,3
643,4
644,4
645,6
646,4
647,6
648,5
649,11
650,6
651,10
652,4
653,3
654,9
655,9
656,4
657,2
658,6
659,7
660,2
661,8
662,6
663,3
664,7
665,3
667,5
668,12
669,8
670,4
671,9
672,6
673,1
674,1
675,6
676,6
677,11
678,4
679,11
680,2
681,1
682,1
683,11
684,8
685,2
686,4
687,10
688,3
689,6
690,7
691,6
692,1
693,1
694,1
695,4
696,1
697,7
698,2
699,4
700,3
701,5
702,2
703,3
704,7
705,8
